{'ip': '58.247.8.34', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.247.68.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.208.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.240.2', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '58.246.7.178', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.125.138', 'other': 'NOERROR', 'type': '3'}
{'ip': '58.247.65.68', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.126.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.56.50', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.137.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.69.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.88.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.99.133', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.171.178', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.170.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.161.252', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '58.247.177.134', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.15.82', 'other': 'NOERROR', 'type': '3'}
{'ip': '58.246.103.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.11.150', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.65.131', 'other': 'NOERROR', 'type': '4'}
{'ip': '58.246.58.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.105.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.230.159', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.24.126', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.33.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.152.31', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.33.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.33.19', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '58.246.69.166', 'other': 'NOERROR', 'type': '3'}
{'ip': '58.246.103.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.98.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.136.187', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.155.86', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.246.244.10', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '58.246.85.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.5.3', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.210.196', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.120.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.58.142', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.246.80.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.170.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.65.62', 'other': 'NOERROR', 'type': '1'}
{'ip': '58.246.237.124', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.179.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.66.13', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.170.92', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.149.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.63.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.103.218', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.19.230', 'other': 'NOERROR', 'type': '2'}
{'ip': '58.246.6.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.74.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.134.197', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.103.145', 'other': 'NXDOMAIN', 'type': '3'}
