{'ip': '114.240.6.138', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.62', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.49', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.180', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.241', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.120', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.107', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.197', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.82', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.219', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.89', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.51', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.69', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.139', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.60', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.140', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.142', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.25', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.7', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.196', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.186', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.119', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.220', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.113', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.160', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.95', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.203', 'other': 'SERVFAIL', 'type': '3'}
