{'ip': '58.246.136.68', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.112.159', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.245.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.43.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.231', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.188', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.138.71', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.240.122', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.114.70', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.174.231', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.6.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.176.130', 'other': 'NOERROR', 'type': '4'}
{'ip': '58.247.79.68', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.130.69', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.152.120', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.8.35', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.247.210.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.182.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.192.177', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.100.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.55.234', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.67.154', 'other': 'NOERROR', 'type': '3'}
{'ip': '112.64.144.51', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.71.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.31.13', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.90.216', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.64.179.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.68.37', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.64.52.156', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.249.174', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '112.65.138.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.57.94', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.58.80', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.97', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.103.75', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.65.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.52.119', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.130.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.147.24', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '112.64.6.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.164.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.153.21', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.51.43', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.244.89', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.64.239.228', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.115.152', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.7.222', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.49.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.64.185', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.230.171', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.207.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.143.101', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.158.70', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.158.83', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.128.170', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.64.28.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.114.55', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.168.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.184.155', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.13.44', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.163.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.30.175', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.159.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.72.165', 'other': 'NOERROR', 'type': '1'}
{'ip': '210.13.106.77', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.108.94', 'other': 'NXDOMAIN', 'type': '4'}
{'ip': '210.13.73.154', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '210.13.118.235', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.97.100', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '210.13.116.194', 'other': 'NOERROR', 'type': '3'}
{'ip': '210.13.73.166', 'other': 'NOERROR', 'type': '3'}
