{'ip': '220.248.18.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.19.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.53.147', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.97.101', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.108.38', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.237.234', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.31.117', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.149.244', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.172.169', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.103.84', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.11.111', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.65.54', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.97.202', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.215.84', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.249.115.85', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.84.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.124.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.39.189', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.157.4', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.12.116', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.249.98.221', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.119', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.115.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.30.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.81.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.40.19', 'other': 'NOERROR', 'type': '2'}
{'ip': '220.248.233.27', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.248.34.18', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.181.235', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.121', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.13.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.177.74', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.159.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.85.35', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.243.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.154.193', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.103.254', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.231.140', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.192.10', 'other': 'NOERROR', 'type': '1'}
